Marka;Model;Seri;Yıl;Kilometre;Renk;Fiyat;Yer;Yakıt Tipi;Vites Tipi;Kasa Tipi;Motor Hacmi;Motor Gücü;Yakıt Deposu;Çekiş;Kimden
BMW;520i Executive M Sport;5 Serisi;2017;54000;Beyaz;2590000;Atakent Mh. Ümraniye, İstanbul;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Sahibinden
BMW;116i Advantage;1 Serisi;2006;182000;Lacivert;565000;Yakacık Yeni Mh. Kartal, İstanbul;Benzin;Düz;Hatchback/5;1401 - 1600 cm3;101 - 125 HP;;Arkadan İtiş;Sahibinden
BMW;320d Advantage;3 Serisi;2011;200000;Siyah;690000;Armağan Evler Mh. Ümraniye, İstanbul;Dizel;Otomatik;Sedan;1995 cc;184 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;320i ED 40th Year Edition;3 Serisi;2016;135000;Beyaz;1550000;Esertepe Mh. Keçiören, Ankara;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;320i Edition M Sport;3 Serisi;2023;9500;Siyah;3435000;Tahtakale Mh. Avcılar, İstanbul;Benzin;Otomatik;Sedan;1597 cc;170 hp;59 lt;Arkadan İtiş;Sahibinden
BMW;320i ED Sport Line;3 Serisi;2015;143000;Gri;1250000;Aydınlı Mh. Tuzla, İstanbul;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;116i Premium;1 Serisi;2011;263000;Gri (Gümüş);608000;Bağlıca Mh. Etimesgut, Ankara;Benzin;Otomatik;Hatchback/5;1596 cc;116 hp;53 lt;Arkadan İtiş;Sahibinden
BMW;316i Standart;3 Serisi;1996;77777777;Kırmızı;320000;Atatürk Mh. Patnos, Ağrı;LPG & Benzin;Düz;Sedan;1596 cc;102 hp;63 lt;Arkadan İtiş;Sahibinden
BMW;320d Edition Comfort;3 Serisi;2012;113000;Siyah;1135000;İcadiye Mh. Üsküdar, İstanbul;Dizel;Otomatik;Sedan;1995 cc;184 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;320i ED Modern Line;3 Serisi;2013;158700;Kahverengi;1310000;Altınkum Mh. Konyaaltı, Antalya;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;328i Standart;3 Serisi;2001;430000;Gri (Gümüş);510000;Çimenlik Mh. Karatay, Konya;LPG & Benzin;Otomatik;Sedan;2793 cc;193 hp;63 lt;Arkadan İtiş;Sahibinden
BMW;320d Modern Line;3 Serisi;2012;245500;Kahverengi;1080000;Atatürk Mh. Kapaklı, Tekirdağ;Dizel;Otomatik;Sedan;1995 cc;184 hp;57 lt;Arkadan İtiş;Sahibinden
BMW;320i;3 Serisi;2001;249000;Mavi (metalik);649000;Gülveren Mh. Kepez, Antalya;LPG & Benzin;Otomatik;Sedan;1991 cc;150 hp;63 lt;Arkadan İtiş;Sahibinden
BMW;116d ED EfficientDynamics;1 Serisi;2014;108500;Beyaz;875000;Millet Mh. Yıldırım, Bursa;Dizel;Düz;Hatchback/5;1598 cc;116 hp;52 lt;Arkadan İtiş;Sahibinden
BMW;528i Standart;5 Serisi;1999;480000;Gri (Gümüş);545000;Binkonutlar Mh. Selçuklu, Konya;LPG & Benzin;Otomatik;Sedan;2793 cc;193 hp;70 lt;Arkadan İtiş;Sahibinden
BMW;525d xDrive Executive;5 Serisi;2014;188000;Siyah;1595000;Kısıklı Mh. Üsküdar, İstanbul;Dizel;Otomatik;Sedan;1995 cc;218 hp;70 lt;4WD (Sürekli);Galeriden
BMW;320i ED Modern Line;3 Serisi;2014;139000;Beyaz;1330000;Orhangazi Mh. Elbistan, Kahramanmaraş;Benzin;Otomatik;Sedan;1401 - 1600 cm3;151 - 175 HP;;Arkadan İtiş;Galeriden
BMW;520i Executive M Sport;5 Serisi;2016;127000;Beyaz;1885000;Bağlık Mh. Kumluca, Antalya;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Galeriden
BMW;520i M Sport;5 Serisi;2013;186000;Beyaz;1248000;Ergazi Mh. Yenimahalle, Ankara;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Galeriden
BMW;520d Standart;5 Serisi;2013;223000;Beyaz;1425000;Anayazı Mh. Antakya, Hatay;Dizel;Otomatik;Sedan;1995 cc;184 hp;70 lt;Arkadan İtiş;Galeriden
BMW;520d M Sport;5 Serisi;2011;240000;Beyaz;1380000;Merkez Honaz, Denizli;Dizel;Otomatik;Sedan;1995 cc;184 hp;70 lt;Arkadan İtiş;Galeriden
BMW;218i Gran Coupe Sport Line;2 Serisi;2023;10000;Füme;2120000;1. OSB Yeşilyurt, Malatya;Benzin;Otomatik;Coupe;1401 - 1600 cm3;126 - 150 HP;;Önden Çekiş;Galeriden
BMW;520i Comfort Plus;5 Serisi;2018;179300;Siyah;2100000;Zafer Mh. Çorlu, Tekirdağ;Benzin;Otomatik;Sedan;1597 cc;170 hp;68 lt;Arkadan İtiş;Galeriden
BMW;640i Exclusive;6 Serisi;2012;112600;Gri;3175000;Adalet Mh. Bayraklı, İzmir;Benzin;Otomatik;-;2979 cc;320 hp;70 lt;Arkadan İtiş;Galeriden
BMW;i5 eDrive30 M Sport;i Serisi;2024;13000;Siyah;4650000;Beyazevler Mh. Gaziemir, İzmir;Elektrik;Otomatik;Sedan;-;201 - 225 HP;;Arkadan İtiş;Galeriden
BMW;520i M Sport;5 Serisi;2016;185000;Lacivert;1419000;Beyazevler Mh. Gaziemir, İzmir;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Galeriden
BMW;320i ED M Plus;3 Serisi;2016;175000;Beyaz;1320000;Balıkhisar Mh. Akyurt, Ankara;Benzin;Otomatik;Sedan;1401 - 1600 cm3;151 - 175 HP;;Arkadan İtiş;Galeriden
BMW;525d xDrive Premium;5 Serisi;2015;216000;Lacivert;1750000;Mimar Sinan Mh. Merkez, Çorum;Dizel;Otomatik;Sedan;1995 cc;218 hp;70 lt;4WD (Sürekli);Galeriden
BMW;520i Executive M Sport;5 Serisi;2017;179000;Lacivert;2225000;Konutkent Mh. Çankaya, Ankara;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Galeriden
BMW;520d Premium;5 Serisi;2011;455000;Beyaz;1265000;Konutkent Mh. Çankaya, Ankara;Dizel;Otomatik;Sedan;1995 cc;184 hp;70 lt;Arkadan İtiş;Galeriden
BMW;520i Executive M Sport;5 Serisi;2020;54000;Mavi;2990000;Konutkent Mh. Çankaya, Ankara;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Galeriden
BMW;420d Gran Coupe M Sport;4 Serisi;2015;205000;Mavi;1280000;Saray Mh. Ümraniye, İstanbul;Dizel;Otomatik;Coupe;1995 cc;184 hp;57 lt;Arkadan İtiş;Galeriden
BMW;520d xDrive M Sport;5 Serisi;2023;16000;Mavi;5900000;Emrez Mh. Gaziemir, İzmir;Dizel;Otomatik;Sedan;1995 cc;190 hp;66 lt;4WD (Sürekli);Galeriden
BMW;520d Exclusive;5 Serisi;2011;318000;Beyaz;1209000;Yeni Sanayi Mh. Nazilli, Aydın;Dizel;Otomatik;Sedan;1995 cc;184 hp;70 lt;Arkadan İtiş;Galeriden
BMW;320td Compact;3 Serisi;2003;220000;Kırmızı;475000;Cennetayağı Mh. Edremit, Balıkesir;Dizel;Düz;Hatchback/3;1995 cc;150 hp;63 lt;Arkadan İtiş;Galeriden
BMW;530i xDrive Luxury Line;5 Serisi;2021;95000;Siyah;3750000;Emrez Mh. Gaziemir, İzmir;Benzin;Otomatik;Sedan;1998 cc;252 hp;68 lt;4WD (Sürekli);Galeriden
BMW;520i M Sport;5 Serisi;2021;47000;Mavi;3650000;Yakınca Mh. Yeşilyurt, Malatya;Benzin;Otomatik;Sedan;1597 cc;170 hp;68 lt;Arkadan İtiş;Galeriden
BMW;420d Gran Coupe Gran Coupe;4 Serisi;2016;131191;Beyaz;1677000;Yenişehir Mh. İzmit, Kocaeli;Dizel;Otomatik;Sedan;1995 cc;190 hp;57 lt;Arkadan İtiş;Galeriden
BMW;316i Comfort;3 Serisi;2012;90029;Siyah;1075000;İçerenköy Mh. Ataşehir, İstanbul;Benzin;Otomatik;Sedan;1598 cc;136 hp;60 lt;Arkadan İtiş;Galeriden
BMW;218i M Sport;2 Serisi;2015;84828;Mavi;1566500;Bağlarbaşı Mh. Maltepe, İstanbul;Benzin;Otomatik;Coupe;1499 cc;136 hp;52 lt;Arkadan İtiş;Galeriden
BMW;418i Gran Coupe M Sport;4 Serisi;2015;207000;Lacivert;1450000;Denizköşkler Mh. Avcılar, İstanbul;Benzin;Otomatik;Coupe;1499 cc;136 hp;60 lt;Arkadan İtiş;Galeriden
BMW;320d Sport Line;3 Serisi;2017;130000;Beyaz;1720000;Çınar Mh. Maltepe, İstanbul;Dizel;Otomatik;Sedan;1995 cc;190 hp;57 lt;Arkadan İtiş;Sahibinden
BMW;520i Premium;5 Serisi;2014;204000;Siyah;1500000;Osmaniye Mh. Bakırköy, İstanbul;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Sahibinden
BMW;320i ED Sport Line;3 Serisi;2015;105000;Beyaz;1390000;Erenköy Mh. Kadıköy, İstanbul;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;525d xDrive Premium;5 Serisi;2014;84000;Beyaz;2350000;Akarbaşı Mh. Odunpazarı, Eskişehir;Dizel;Otomatik;Sedan;1995 cc;218 hp;70 lt;4WD (Sürekli);Sahibinden
BMW;520i Comfort;5 Serisi;2014;148800;Beyaz;1477000;Kemalpaşa Mh. İnegöl, Bursa;Benzin;Otomatik;Sedan;1592 cc;170 hp;70 lt;Arkadan İtiş;Sahibinden
BMW;116d Joy;1 Serisi;2015;219000;Beyaz;990000;Şehitlik Mh. Polatlı, Ankara;Dizel;Otomatik;Hatchback/5;1496 cc;116 hp;52 lt;Arkadan İtiş;Sahibinden
BMW;116i Comfort;1 Serisi;2011;148000;Gri;585000;Kaynarca Mh. Pendik, İstanbul;LPG & Benzin;Otomatik;Hatchback/5;1596 cc;116 hp;53 lt;Arkadan İtiş;Sahibinden
BMW;320d Standart;3 Serisi;2013;235000;Siyah;1130000;Atatürk Mh. Karesi, Balıkesir;Dizel;Otomatik;Sedan;1995 cc;184 hp;57 lt;Arkadan İtiş;Sahibinden
BMW;520d Standart;5 Serisi;2008;320000;Siyah;765000;Yeni Mh. Merkez, Osmaniye;Dizel;Otomatik;Sedan;1995 cc;177 hp;70 lt;Arkadan İtiş;Sahibinden
BMW;520i Standart;5 Serisi;1997;350000;Mavi;465000;Sarıcalı Mh. Çarşamba, Samsun;LPG & Benzin;Otomatik;Sedan;1991 cc;150 hp;80 lt;Arkadan İtiş;Sahibinden
BMW;318i Standart;3 Serisi;1993;370000;Yeşil;210000;Sahil Mh. Başiskele, Kocaeli;LPG & Benzin;Düz;Sedan;1796 cc;115 hp;63 lt;Arkadan İtiş;Sahibinden
BMW;320i ED Standart;3 Serisi;2014;318000;Beyaz;1150000;Mustafa Kemal Mh. Buca, İzmir;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;116d ED EfficientDynamics;1 Serisi;2012;374000;Siyah;650000;Gökalp Mh. Zeytinburnu, İstanbul;Dizel;Düz;Hatchback/5;1598 cc;116 hp;52 lt;Arkadan İtiş;Sahibinden
BMW;320i ED M Plus;3 Serisi;2016;170000;Beyaz;1500000;Emek Mh. Çankaya, Ankara;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;320i ED Sport Line;3 Serisi;2015;90000;Siyah;1575000;Mahfesığmaz Mh. Çukurova, Adana;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;318i 40th Year Edition;3 Serisi;2017;67500;Gri (metalik);1695000;Merdivenköy Mh. Kadıköy, İstanbul;Benzin;Otomatik;Sedan;1499 cc;136 hp;60 lt;Arkadan İtiş;Sahibinden
BMW;320i First Edition Sport Line;3 Serisi;2020;79000;Siyah;2050000;Karşıyaka Mh. Tatvan, Bitlis;Benzin;Otomatik;Sedan;1597 cc;170 hp;59 lt;Arkadan İtiş;Sahibinden
BMW;520i Luxury Line;5 Serisi;2018;128000;Bej;2150000;Yavuztürk Mh. Üsküdar, İstanbul;Benzin;Otomatik;Sedan;1597 cc;170 hp;68 lt;Arkadan İtiş;Sahibinden
BMW;320i ED Modern Line;3 Serisi;2014;165000;Beyaz;1185000;Yazır Mh. Selçuklu, Konya;Benzin;Otomatik;Sedan;1598 cc;170 hp;60 lt;Arkadan İtiş;Sahibinden
