date;home_team;away_team;home_score;away_score;League
01.05.2011;Arsenal;Man. United;1;0;Premier League
01.05.2011;Man. City;West Ham;2;1;Premier League
23.04.2011;Man. United;Everton;1;0;Premier League
23.04.2011;Aston Villa;Stoke City;1;1;Premier League
23.04.2011;Blackpool;Newcastle;1;1;Premier League
23.04.2011;Liverpool;Birmingham;5;0;Premier League
23.04.2011;Sunderland;Wigan Ath;4;2;Premier League
23.04.2011;Tottenham;West Bromwich;2;2;Premier League
23.04.2011;Wolverhampton;Fulham;1;1;Premier League
23.04.2011;Chelsea;West Ham;3;0;Premier League
24.04.2011;Bolton;Arsenal;2;1;Premier League
25.04.2011;Blackburn;Man. City;0;1;Premier League
16.04.2011;Birmingham;Sunderland;2;0;Premier League
16.04.2011;Everton;Blackburn;2;0;Premier League
16.04.2011;West Bromwich;Chelsea;1;3;Premier League
16.04.2011;West Ham;Aston Villa;1;2;Premier League
16.04.2011;Blackpool;Wigan Ath;1;3;Premier League
17.04.2011;Arsenal;Liverpool;1;1;Premier League
19.04.2011;Newcastle;Man. United;0;0;Premier League
26.04.2011;Stoke City;Wolverhampton;3;0;Premier League
27.04.2011;Fulham;Bolton;3;0;Premier League
10.05.2011;Man. City;Tottenham;1;0;Premier League
09.04.2011;Wolverhampton;Everton;0;3;Premier League
09.04.2011;Blackburn;Birmingham;1;1;Premier League
09.04.2011;Bolton;West Ham;3;0;Premier League
09.04.2011;Chelsea;Wigan Ath;1;0;Premier League
09.04.2011;Man. United;Fulham;2;0;Premier League
09.04.2011;Sunderland;West Bromwich;2;3;Premier League
09.04.2011;Tottenham;Stoke City;3;2;Premier League
10.04.2011;Blackpool;Arsenal;1;3;Premier League
10.04.2011;Aston Villa;Newcastle;1;0;Premier League
11.04.2011;Liverpool;Man. City;3;0;Premier League
02.04.2011;West Ham;Man. United;2;4;Premier League
02.04.2011;Birmingham;Bolton;2;1;Premier League
02.04.2011;Everton;Aston Villa;2;2;Premier League
02.04.2011;Newcastle;Wolverhampton;4;1;Premier League
02.04.2011;Stoke City;Chelsea;1;1;Premier League
02.04.2011;West Bromwich;Liverpool;2;1;Premier League
02.04.2011;Wigan Ath;Tottenham;0;0;Premier League
02.04.2011;Arsenal;Blackburn;0;0;Premier League
03.04.2011;Fulham;Blackpool;3;0;Premier League
03.04.2011;Man. City;Sunderland;5;0;Premier League
19.03.2011;Tottenham;West Ham;0;0;Premier League
19.03.2011;Aston Villa;Wolverhampton;0;1;Premier League
19.03.2011;Blackburn;Blackpool;2;2;Premier League
19.03.2011;Man. United;Bolton;1;0;Premier League
19.03.2011;Stoke City;Newcastle;4;0;Premier League
19.03.2011;West Bromwich;Arsenal;2;2;Premier League
19.03.2011;Wigan Ath;Birmingham;2;1;Premier League
19.03.2011;Everton;Fulham;2;1;Premier League
20.03.2011;Sunderland;Liverpool;0;2;Premier League
20.03.2011;Chelsea;Man. City;2;0;Premier League
05.03.2011;Birmingham;West Bromwich;1;3;Premier League
05.03.2011;Arsenal;Sunderland;0;0;Premier League
05.03.2011;Bolton;Aston Villa;3;2;Premier League
05.03.2011;Fulham;Blackburn;3;2;Premier League
05.03.2011;Newcastle;Everton;1;2;Premier League
05.03.2011;West Ham;Stoke City;3;0;Premier League
05.03.2011;Man. City;Wigan Ath;1;0;Premier League
06.03.2011;Liverpool;Man. United;3;1;Premier League
06.03.2011;Wolverhampton;Tottenham;3;3;Premier League
07.03.2011;Blackpool;Chelsea;1;3;Premier League
26.02.2011;Aston Villa;Blackburn;4;1;Premier League
26.02.2011;Everton;Sunderland;2;0;Premier League
26.02.2011;Newcastle;Bolton;1;1;Premier League
26.02.2011;Wigan Ath;Man. United;0;4;Premier League
26.02.2011;Wolverhampton;Blackpool;4;0;Premier League
27.02.2011;West Ham;Liverpool;3;1;Premier League
27.02.2011;Man. City;Fulham;1;1;Premier League
28.02.2011;Stoke City;West Bromwich;1;1;Premier League
20.04.2011;Chelsea;Birmingham;3;1;Premier League
20.04.2011;Tottenham;Arsenal;3;3;Premier League
12.02.2011;Man. United;Man. City;2;1;Premier League
12.02.2011;Arsenal;Wolverhampton;2;0;Premier League
12.02.2011;Birmingham;Stoke City;1;0;Premier League
12.02.2011;Blackburn;Newcastle;0;0;Premier League
12.02.2011;Blackpool;Aston Villa;1;1;Premier League
12.02.2011;Liverpool;Wigan Ath;1;1;Premier League
12.02.2011;West Bromwich;West Ham;3;3;Premier League
12.02.2011;Sunderland;Tottenham;1;2;Premier League
13.02.2011;Bolton;Everton;2;0;Premier League
14.02.2011;Fulham;Chelsea;0;0;Premier League
05.02.2011;Stoke City;Sunderland;3;2;Premier League
05.02.2011;Aston Villa;Fulham;2;2;Premier League
05.02.2011;Everton;Blackpool;5;3;Premier League
