Marka,Model,Seri,Yıl,Kilometre,Renk,Fiyat,Yer,Yakıt Tipi,Vites Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Yakıt Deposu,Çekiş,Kimden
Fiat,1.3 Multijet Active Plus,Linea,2012.0,153000.0,Gri,435000.0,"Atatürk Mh. Merkez, Tunceli",Dizel,Düz,Sedan,1248 cc,90 hp,45 lt,Önden Çekiş,Sahibinden
Fiat,1.6 Multijet Urban,Egea,2017.0,120000.0,Gri (Gümüş),835000.0,"Muhsin Yazıcıoğlu Mh. Çubuk, Ankara",Dizel,Yarı Otomatik,Sedan,1598 cc,120 hp,45 lt,Önden Çekiş,Sahibinden
Fiat,1.6 Multijet Easy Plus,Egea,2018.0,234000.0,Beyaz,585000.0,"İnönü Mh. Buca, İzmir",Dizel,Otomatik,Sedan,1401 - 1600 cm3,101 - 125 HP,,Önden Çekiş,Galeriden
Fiat,1.4 Fire Urban Plus,Egea,2020.0,113000.0,Beyaz,655750.0,"Söğütlü Mh. Akçaabat, Trabzon",Benzin,Düz,Sedan,1368 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.6 Multijet Easy,Egea,2022.0,48000.0,Beyaz,834000.0,"Rami Yeni Mh. Eyüpsultan, İstanbul",Dizel,Otomatik,Sedan,1401 - 1600 cm3,126 - 150 HP,,Önden Çekiş,Galeriden
Fiat,1.6 HL,Siena,1999.0,362000.0,Lacivert,275000.0,"2. Anafartalar Mh. Şehzadeler, Manisa",LPG & Benzin,Düz,Sedan,1580 cc,101 hp,51 lt,Önden Çekiş,Galeriden
Fiat,1.6 Multijet Easy,Egea,2022.0,59000.0,Beyaz,855000.0,"İvedik OSB Yenimahalle, Ankara",Dizel,Otomatik,Sedan,1401 - 1600 cm3,126 - 150 HP,,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Easy,Egea,2017.0,208350.0,Beyaz,610000.0,"Milli Egemenlik Mh. Manavgat, Antalya",Dizel,Düz,Sedan,1248 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.3 Multijet Easy Plus,Egea,2023.0,27000.0,Gri,845000.0,"Adem Yavuz Mh. Ümraniye, İstanbul",Dizel,Düz,Sedan,1248 cc,95 hp,50 lt,Önden Çekiş,Galeriden
Fiat,1.4 Fire Easy Plus,Egea,2022.0,36000.0,Beyaz,765000.0,"Talaytepe Mh. Kayapınar, Diyarbakır",Benzin,Düz,Sedan,1368 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.4 Fire Easy,Egea,2022.0,102000.0,Beyaz,649000.0,"Korukent Mh. Toroslar, Mersin",Benzin,Düz,Sedan,1368 cc,95 hp,45 lt,Önden Çekiş,Galeriden
Fiat,1.6 SX,Marea,1999.0,290000.0,Gri (Gümüş),168500.0,"Büyükdere Mh. Odunpazarı, Eskişehir",LPG & Benzin,Düz,Sedan,1581 cc,103 hp,63 lt,Önden Çekiş,Galeriden
Fiat,1.6 Multijet Urban Plus,Egea,2019.0,96000.0,Beyaz,840000.0,"Abdurrahmangazi Mh. Sultanbeyli, İstanbul",Dizel,Otomatik,Sedan,1401 - 1600 cm3,101 - 125 HP,,Önden Çekiş,Galeriden
