date;home_team;away_team;home_score;away_score;League;weather;wind;temperature;wind_speed;humidity;pressure
27.02.2009;Köln;A. Bielefeld;1;1;Bundesliga;Mostly Cloudy;WNW;41 °F;16 mph;87 %;29.74 in
28.02.2009;E. Frankfurt;Schalke 04;1;2;Bundesliga;Mostly Cloudy;SSW;46 °F;10 mph;81 %;29.66 in
28.02.2009;Hannover 96;B. Leverkusen;1;0;Bundesliga;Mostly Cloudy;W;39 °F;2 mph;93 %;29.89 in
28.02.2009;Bochum;E. Cottbus;3;2;Bundesliga;Cloudy;WSW;46 °F;8 mph;100 %;29.55 in
28.02.2009;Hertha Berlin;M'gladbach;2;1;Bundesliga;Mostly Cloudy;W;39 °F;2 mph;93 %;29.89 in
28.02.2009;B. Dortmund;Hoffenheim;0;0;Bundesliga;Cloudy;WSW;46 °F;8 mph;100 %;29.55 in
01.03.2009;Werder Bremen;Bayern Münih;0;0;Bundesliga;Mostly Cloudy;ENE;45 °F;2 mph;93 %;29.85 in
01.03.2009;Hamburg;Wolfsburg;1;3;Bundesliga;Mostly Cloudy;W;43 °F;2 mph;93 %;29.86 in
01.03.2009;Karlsruher;Stuttgart;0;2;Bundesliga;Mostly Cloudy;W;43 °F;2 mph;93 %;29.86 in
20.02.2009;Schalke 04;B. Dortmund;1;1;Bundesliga;Mostly Cloudy;W;36 °F;6 mph;100 %;30.09 in
21.02.2009;E. Cottbus;Werder Bremen;2;1;Bundesliga;Mostly Cloudy;W;34 °F;2 mph;100 %;30.27 in
21.02.2009;M'gladbach;Hannover 96;3;2;Bundesliga;Mostly Cloudy;WNW;41 °F;5 mph;87 %;30.26 in
21.02.2009;Karlsruher;E. Frankfurt;0;1;Bundesliga;Mostly Cloudy;W;34 °F;2 mph;100 %;30.27 in
21.02.2009;Wolfsburg;Hertha Berlin;2;1;Bundesliga;Fair;WSW;47 °F;10 mph;77 %;30.06 in
21.02.2009;A. Bielefeld;Bochum;1;1;Bundesliga;Mostly Cloudy;W;34 °F;2 mph;100 %;30.27 in
21.02.2009;Stuttgart;Hoffenheim;3;3;Bundesliga;Mostly Cloudy;WSW;34 °F;2 mph;93 %;28.85 in
21.02.2009;Bayern Münih;Köln;1;2;Bundesliga;Mostly Cloudy;W;32 °F;13 mph;93 %;28.73 in
